Label,documents
cricket,kumble breaks kapil record first test dhaka day one stumps bangladesh all out india kumble overtook the mark set by kapil dev when he had mohammad rafique lbw and he followed up with wicket next ball before bangladesh were bowled out for in overs in dhaka after the first session was lost to rain irfan pathan took five wickets to reduce the hosts to before mohammad ashraful dug in ashraful ended unbeaten on having hit six fours and faced balls kumble had chance of hattrick after removing tapash baisya via catch at first slip but mashrafe mortaza safely defended the fifth ball of his th over but run out ended the innings not long afterwards india did not get chance to begin their reply as openers virender sehwag and gautam gambhir were immediately offered the light on stepping to the wicket india won the toss and pathan soon got stuck into the top order dismissing javed omar lbw in his second over with one that nipped back nafis iqbal and rajin saleh were also ajudged lbw by umpire jeremy lloyds off consecutive balls in pathan fifth over captain habibul bashar then pulled zaheer khan straight to square leg and when the same bowler had khaled mashud caught behind bangladesh were after just overs ashraful largely in partnership with rafique did his best to build recovery but india will expect to amass huge lead on saturday kumble is now fifth in the alltime list aged he may still be able to reach the mark passed by only three men fellow legspinner shane warne tops the list with wickets habibul bashar capt nafis iqbal javed omar mohammad ashraful rajin saleh khaled mashud wkt mushfiqur rahman mohammad rafique tapash baisya mashrafe bin mortaza manjurul islam rana ganguly capt sehwag gambhir tendulkar dravid kaif karthik wkt pathan kumble harbhajan singh khan 
cricket,aussies tighten grip first test perth day three australia dec pakistan close the home side declared their second innings on lead of and pakistan were at the close martyn made no mistake after ricky ponting was stumped for and justin langer bowled by abdul razzaq for left to survive six overs before the close pakistan lost imran farhat who was lbw to glenn mcgrath for one pakistan cause was not helped by the absence of skipper inzamamulhaq and paceman shoaib akhtar for most of the afternoon inzamam stayed in the dressing room suffering from stomach upset while shoaib hurt his left shoulder while trying to make diving save in the field he had taken the only wicket to fall during the morning bowling matthew hayden for with an inswinger as australia advanced their score from to langer fifty arrived off balls and he struck fours as he and ponting shared second wicket stand of it looked odds on that he would become the first man ever to make hundred in each innings of test at the waca when razzaq found way through as he attempted to drive but langer who made in the first innings is now the highest run scorer in tests in with including five centuries ponting was on at the tea interval and well set to reach three figures for the first time this year he was denied however when he missed an attempted sweep of danish kaneria and keeper kamran akmal whipped off the bails dismissal confirmed by the tv umpire darren lehmann was bowled by kaneria for five but michael clarke joined martyn in stand of for the fifth wicket before he was caught by the revived inzamam off mohammad sami for martyn reached three figures in the next over ball knock featuring boundaries and ponting immediately made the declaration the pakistan openers walked to the middle under intense pressure and it proved too much for farhat who shouldered arms to an inswinging delivery from mcgrath but partner salman butt survived to reach stumps on eight not out and younis khan drove the day penultimate delivery from jason gillespie through extra cover for four to finish on seven ricky ponting justin langer matthew hayden damien martyn darren lehmann michael clarke adam gilchrist shane warne jason gillespie michael kasprowicz glenn mcgrath th man brett lee inzamamulhaq imran farhat salman butt younis khan yousuf youhanna abdul razzaq kamran akmal shoaib akhtar danish kaneria mohammad sami mohammad khalil th man yasir hameed 
cricket,vaughan ready for south africa skipper michael vaughan is relieved england tour of zimbabwe passed off without major incident and is now relishing the prospect of south africa vaughan men who fly to johannesburg on monday cruised to series win over the zimbabweans but expect five tough tests against graeme smith side the zimbabwe tour didn start very well but we came through it he said but m quite happy to be leaving and going onto johannesburg for what is the exciting leg of the winter the england captain said he hoped to take the batting form he has shown in zimbabwe into the long tour of south africa vaughan was man of the series as zimbabwe were swept with runs at an average in excess of he said realise need to improve my oneday stats hopefully can take this form into test series in south africa and the seven oneday games it was convincing series win the boys did well in difficult situations vaughan said the youngsters who had filled in for some notable absentees had acquitted themselves well he said it was tour where we gave opportunity to few players and they have come in and done very good job it makes the selectors job little bit harder because we are producing good pool of players england six oneday specialists kevin pietersen darren gough vikram solanki ian bell matt prior and alex wharf will fly home to heathrow on monday night the remainder of the party will link up with the other members of the test squad in johannesburg in preparation for the first test starting in port elizabeth on december meanwhile vaughan admitted he was disappointed baffled and saddened by the absence of the zimbabwe rebels from the controversial series when you see heath streak sitting watching you in the stands it is disappointing zimbabwe aren putting their best team on the field vaughan said d like to have played against the flower brothers andy and grant heath streak and stuart carlisle all of those guys streak said he felt zimbabwean cricket would have been in better shape if the rebels were still involved there are some talented players in this team and we could have formed strong combination with them you don enjoy watching your country lose badly he said still have lot of friends in the changing room don have any issues with the players my issues are with zimbabwe cricket and the behaviour of some of the board members zimbabwe captain tatenda taibu admitted we are not quite there yet we need bit of experience and the more games we play the better we become we are just getting individual performances on the day but we have to play good cricket for overs and we have to get it together in game and we really haven done that and really have to work on that m very lucky that have bunch of young guys who really want to play for their country and give their best 
cricket,world xi triumph in tsunami match tsunami appeal match melbourne icc world xi beat asian xi by runs ricky ponting hit in massive total of after electing to bat first in front of crowd of rahul dravid topscored with not out in the asian xi reply after virender sehwag brisk daniel vettori took while england darren gough took wicket and catch shane warne had the game broadcast in countries to an estimated global television audience of one billion has already raised nearly xcxa million for the relief effort australian prime minister john howard tossed coin to start the match and afterwards the international cricket council chief executive malcolm speed paid tribute to the players for taking part he said this signifies the game compassion and commitment to provide as much help as possible to enable the survivors of the tsunami to rebuild their lives so far as this is possible ponting entertained the fans early on by hitting some big shots off anil kumble and abdul razzaq and the world xi run rate was soon ticking along at healthy rate chris cairns and brian lara enjoyed themselves as middle order packed with stars delivered the goods and there was plenty of time for the unorthodox australia tailender glenn mcgrath batted at number six where he fell for golden duck muttiah muralitharan captured his wicket in overall figures of it was welcome comeback performance from the sri lankan who had been out injured for five months and who was almost caught up in the december tragedy sehwag gave the asian xi good start as they reached in the th over but wickets regularly tumbled once he fell to catch in the deep trying to hit warne second ball for six vettori got stuck into the middle order where dravid played lone hand with only kumar sangakkara gough sole victim providing any meaningful support the world xi were further boosted by the presence of steve waugh as substitute fielder towards the end of the match it was all wrapped up in the th over with the run out of murali for duck man of the match ponting said the whole day has been very very special it great that the cricket community around the world can play huge part to raise some money to put smile on some faces around the world asian xi captain sourav ganguly said hope we have contributed in whatever way we can to help the people who have suffered this disaster sourav ganguly indcapt sanath jayasuriya sl virender sehwag ind rahul dravid ind yousuf youhana pak kumar sangakkara sl abdul razzaq pak chaminda vaas sl zaheer khan ind anil kumble ind muttiah muralitharan sl alok kapali ban th man sachin tendulkar ind th man ricky ponting auscapt matthew hayden aus adam gilchrist aus stephen fleming nz brian lara wi chris gayle wi chris cairns nz shane warne aus glenn mcgrath aus darren gough eng daniel vettori nz dwayne bravo wi th man rudi koertzen sa billy bowden nz 
cricket,shoaib ruled out of test series fast bowler shoaib akhtar will miss pakistan test series in india because he is still troubled by hamstring injury and cannot be considered he suffered the injury in australia last month and says his recovery will take another four to five weeks the squad for india will be named on saturday but he was quoted as saying don want to play half fit the news comes less than hours after he was fined xcxa for breaching the terms of his contract in australia he was accused of visiting nightclubs and talking to the media without permission but denies the charges and has lodged an appeal against the decision of disciplinary panel however shoaib insisted his decision to pull out of the test series had nothing to do with the outcome of the disciplinary hearing my decision is not linked to the fine or warning he said it is an honest decision since don want to go half fit to india shoaib absence will be huge blow to pakistan chances of avenging last year home test series defeat by india but he still hopes to be available for the six oneday internationals which follow the test matches have informed the pakistan cricket board of my decision and will inform them as soon as get fit so if the team needs me at that stage am available would love to play the oneday series provided the team needs me he added the yearold known as the rawalpindi express is the quickest bowler in world cricket and has been clocked at mph but his fitness record has been poor and he has missed of the tests pakistan have played since he made his debut in november shoaib believes injuries are an inevitable part of the game for fast bowlers because of the amount of international cricket nowadays but critics point to the fact that he has increased his workload by agreeing contracts with english counties he had spells with durham in and is due to play for worcestershire in the second half of the season following tour to the west indies pakistan meanwhile are awaiting fitness reports on fellow seamers mohammad sami mohammad khalil and shabbir ahmed before finalising their squad for india another paceman umar gul will definitely not make the trip because he is still undergoing rehabilitation following stress fractures in his back 
cricket,icc ponders oneday alterations the rules of oneday cricket could be changed to allow the fielding side to take two wickets off single ball striking batsman could be dismissed lbw or caught and his partner run out the international cricket council is also considering an idea to modify the over period of fielding restrictions normally set for an innings start instead the batting side would choose three different slots of five overs when only two fielders would be permitted to cover the boundaries sunil gavaskar heads the icc committee which has recommended the proposal in bid to inject interest into the oneday game which the former india captain says has become predictable we ve looked at double play situation he explained in an interview with the melbourne age if batsman been given out lbw and the ball ricochets off to gully and the fielder picks it up and throws at the nonstriker end so you have two dismissals off one ball same if the ball gone up in the air the icc is discussing the proposals at meeting in melbourne 
cricket,bangladesh delighted at test win bangladeshi players and fans celebrated after the side historic first test victory over zimbabwe in chittagong thousands of fans armed with drums and flags ran into the streets in the capital dhaka within minutes of the end of the game halting traffic it the best day in my life won forget the day was member of bangladesh winning team don want to remember those hard days only want to think about the victory said captain habibul bashar bangladesh president iajuddin ahmed prime minister khaleda zia and opposition leader sheikh hasina have all congratulated the team the win by runs in chittagong was bangladesh first test win at their th attempt since being granted test status in bangladesh managed three draws in their previous matches two of them against zimbabwe and one against west indies bangladesh coach dav whatmore described the victory as wonderful feeling you can see the joy and the relief of lots of other people whatmore told bbc world service we ve taken our share of hammerings in the last year and half and putting this win in perspective there probably few more down the track but sense there a bit more selfbelief when they come to play tougher opposition whatmore led sri lanka to victory in the world cup and said this could not compare but he continued it was important for the whole country that the sport of cricket stand up and show that we re progressing there been lot of frustration for long time here in bangladesh that the team is not pushing the opposition enough the former australia test batsman played down the status of zimbabwe whose weakened side have just returned from sevenmonth suspension of their test status yes our opponents are ranked pretty much near us at the moment so right from the outset that would suggest we had chance of winning he added but to actually go out there and do it is another matter zimbabwe captain tatenda taibu who had made in the first innings but was dismissed for duck in the second was disappointed with the performance there was some bad cricket on our side and good cricket by the bangladeshis he said our top order batsmen didn come to the party and we dropped about four to five catches the second and final test of the series against zimbabwe begins on friday in dhaka 
cricket,wilson back in kiwi cricket squad former all blacks winger jeff wilson is back in the new zealand cricket squad after year absence wilson has been included by the kiwis to face world xi in oneday series in aid of the tsunami victims his last outing for the national team was in when he gave up cricket to concentrate on his rugby union career which came to an end in now that have this chance am looking forward to getting in there and making the most of it said wilson wilson had set his sights on returning to the new zealand side after resuming domestic first class cricket and team coach john bracewell has said the oneday matches are chance for the exall blacks winger to reestablish himself his match turning ability is undoubted and we just need to see if he can step up to this level again said nz coach bracewell the selectors have watched jeff and have no doubt that he is dynamic cricketer in march wilson played four one day international matches against australia he scored matchwinning not out in the final game of the series before concentrating on rugby union after making his debut for the all blacks later that year wilson takes the place of fast bowler ian butler who is suffering from bulging disc in his back the limitedovers series against world xi side being led by australian leg spinner shane warne begins in christchurch on january with the two other matches taking place in wellington on january and hamilton on january more than tickets were sold on the first day of them being made available given the very limited leadtime for these matches we obviously need the public to respond quickly and today has given us good start said new zealand cricket marketing manager peter dwan stephen fleming captain nathan astle chris cairns hamish marshall brendon mccullum kyle mills jacob oram mathew sinclair scott styris daryl tuffey daniel vettori jeff wilson 
cricket,south africa back in contention first test port elizabeth day three stumps south africa england england who resumed play on were bowled out for after losing three wickets for runs and four for in two separate minicollapses makhaya ntini took three wickets in four balls before returning south africa then lost ab de villiers and jacques rudolph before closing on lead of runs the hosts emerged for the day play with renewed zeal after their listless display in the field on saturday andrew strauss could add only six to his overnight score of before cutting shaun pollock on the up and picking out de villiers at point michael vaughan fresh from his runhungry deeds against zimbabwe and south africa broadcast his levels of confidence with six over third man off andrew hall but it was to prove false dawn as two balls later the england captain dallied outside the offstump to fuller delivery and was caught at slip graham thorpe was unimpressive in minutes in the middle scoring just four before being bowled around his legs sweeping at graeme smith amateur offbreaks although three strikes in the morning was good return for the hosts butcher was keeping the score ticking over with an array of pulled and cut boundaries and they were doing themselves no favours by continually noballing in the entire innings south africa conceded national record extras including noballs debutant dale steyn was the chief culprit overstepping times butcher and andrew flintoff built promising run stand either side of lunch and the former th boundary midway through the afternoon took the recovering visitors into the lead ntini unthreatening to this point then turned the game on its head with three wickets in four balls to orchestrate onetime familiar middleorder collapse butcher demise faint edge through to impressive keeper thami tsolekile was soft way to end rd test fifty that looked like becoming his ninth ton if his departure was unthinking flintoff was plain mindless the powerful allrounder had ridden difficult period to move to but threw his wicket away when despatching deliberate short ball down the throat of rudolph at deep square geraint jones misread the sluggishness of the pitch to be caught at short extra cover next ball and though matthew hoggard kept out the hattrick ball he soon fell to hall for duck to reduce his team to ashley giles emphasized his worth down the order with brisk putting on with simon jones before edging pollock to slip another runs were added for the final wicket during which time steve harmison was dropped twice and caught off steyn noball steyn kept his foot behind the popping crease to eventually get rid of jones for and end england first innings hoggard so industrious with the ball in the first innings again served his team well when snatching wonderful lowdown catch off his own bowling to remove de villiers for sizeable firstinnings deficit still hung over the hosts on but with hoggard seemingly straining his side and harmison off six overs way off colour england did not fully cash in it took the introduction of giles to oust rudolph caught at slip for nicely crafted but smith and jacques kallis comfortably saw south africa out of the red and to the safety of stumps the day belonged to the home side but they will need to repeat the dose on monday to ensure they cannot be beaten in the series opener smith captain ab de villiers rudolph kallis dippenaar de bruyn hall pollock tsolekile wk ntini steyn vaughan captain trescothick strauss butcher thorpe flintoff jones wk giles jones hoggard harmison 
cricket,kumble overtakes kapil record first test dhaka day one stumps bangladesh all out india kumble overtook the mark set by kapil dev when he had mohammad rafique lbw and he followed up with wicket next ball before bangladesh were bowled out for in overs in dhaka after the first session was lost to rain irfan pathan took five wickets to reduce the hosts to before mohammad ashraful dug in ashraful ended unbeaten on having hit six fours and faced balls kumble had chance of hattrick after removing tapash baisya via catch at first slip but mashrafe mortaza safely defended the fifth ball of his th over but run out ended the innings not long afterwards india did not get chance to begin their reply as openers virender sehwag and gautam gambhir were immediately offered the light on stepping to the wicket india won the toss and pathan soon got stuck into the top order dismissing javed omar lbw in his second over with one that nipped back nafis iqbal and rajin saleh were also ajudged lbw by umpire jeremy lloyds off consecutive balls in pathan fifth over captain habibul bashar then pulled zaheer khan straight to square leg and when the same bowler had khaled mashud caught behind bangladesh were after just overs ashraful largely in partnership with rafique did his best to build recovery but india will expect to amass huge lead on saturday kumble is now fifth in the alltime list aged he may still be able to reach the mark passed by only three men fellow legspinner shane warne tops the list with wickets habibul bashar capt nafis iqbal javed omar mohammad ashraful rajin saleh khaled mashud wkt mushfiqur rahman mohammad rafique tapash baisya mashrafe bin mortaza manjurul islam rana ganguly capt sehwag gambhir tendulkar dravid kaif karthik wkt pathan kumble harbhajan singh khan 
